DateTime,Time Offset,SEM ID,ECG heart rate,HR Confidence,Belt Breathing rate,Breathing rate confidence,Lead off,Belt off,Skin temperature (IR),Body position,Ambulation,PWI,Event Count
8/12/2013 07:00:01.453,2044,01312035 EQ-02,0,100,0,90,1,1,20.4,Prone,Stationary,Blue,0,
8/12/2013 07:00:16.453,2059,01312035 EQ-02,0,100,0,90,1,1,20.4,Prone,Stationary,Blue,0,
8/12/2013 07:00:31.453,2074,01312035 EQ-02,0,100,0,90,1,1,20.4,Prone,Stationary,Blue,0,
8/12/2013 07:00:46.453,2089,01312035 EQ-02,0,100,0,90,1,1,20.4,Prone,Stationary,Blue,0,
8/12/2013 07:01:01.453,2104,01312035 EQ-02,0,100,0,90,1,1,20.4,Prone,Stationary,Blue,0,
8/12/2013 07:01:16.453,2119,01312035 EQ-02,0,100,0,90,1,1,20.4,Prone,Stationary,Blue,0,
8/12/2013 07:01:31.453,2134,01312035 EQ-02,0,100,0,90,1,1,20.4,Prone,Stationary,Blue,0,
8/12/2013 07:01:46.453,2149,01312035 EQ-02,0,100,0,90,1,1,20.4,Prone,Stationary,Blue,0,
8/12/2013 07:02:01.453,2164,01312035 EQ-02,0,100,0,90,1,1,20.4,Prone,Stationary,Blue,0,
8/12/2013 07:02:16.453,2179,01312035 EQ-02,0,100,0,90,1,1,20.4,Prone,Stationary,Blue,0,
8/12/2013 07:02:31.453,2194,01312035 EQ-02,0,100,0,90,1,1,20.4,Prone,Stationary,Blue,0,
8/12/2013 07:02:46.453,2209,01312035 EQ-02,0,100,0,90,1,1,20.4,Prone,Stationary,Blue,0,
8/12/2013 07:03:01.453,2224,01312035 EQ-02,0,100,0,90,1,1,20.4,Prone,Stationary,Blue,0,
8/12/2013 07:03:16.453,2239,01312035 EQ-02,0,100,0,90,1,1,20.4,Prone,Stationary,Blue,0,
8/12/2013 07:03:31.453,2254,01312035 EQ-02,0,100,0,90,1,1,20.4,Prone,Stationary,Blue,0,
8/12/2013 07:03:46.453,2269,01312035 EQ-02,0,100,0,90,1,1,20.4,Prone,Stationary,Blue,0,
8/12/2013 07:04:01.453,2284,01312035 EQ-02,0,100,0,90,1,1,20.4,Prone,Stationary,Blue,0,
8/12/2013 07:04:16.453,2299,01312035 EQ-02,0,100,0,90,1,1,20.4,Prone,Stationary,Blue,0,
8/12/2013 07:04:31.453,2314,01312035 EQ-02,0,100,0,90,1,1,20.4,Prone,Stationary,Blue,0,
8/12/2013 07:04:46.453,2329,01312035 EQ-02,0,100,0,90,1,1,20.4,Prone,Stationary,Blue,0,
8/12/2013 07:05:01.453,2344,01312035 EQ-02,0,100,0,90,1,1,20.4,Prone,Stationary,Blue,0,
8/12/2013 07:05:16.453,2359,01312035 EQ-02,0,100,0,90,1,1,20.4,Prone,Stationary,Blue,0,
8/12/2013 07:05:31.453,2374,01312035 EQ-02,0,100,0,90,1,1,20.4,Prone,Stationary,Blue,0,
8/12/2013 07:05:46.453,2389,01312035 EQ-02,0,100,0,90,1,1,20.4,Prone,Stationary,Blue,0,
8/12/2013 07:06:01.453,2404,01312035 EQ-02,0,100,0,90,1,1,20.4,Prone,Stationary,Blue,0,
8/12/2013 07:06:16.453,2419,01312035 EQ-02,0,100,0,90,1,1,20.4,Prone,Stationary,Blue,0,
8/12/2013 07:06:31.453,2434,01312035 EQ-02,0,100,0,90,1,1,20.4,Prone,Stationary,Blue,0,
8/12/2013 07:06:46.453,2449,01312035 EQ-02,0,100,0,90,1,1,20.4,Prone,Stationary,Blue,0,
8/12/2013 07:07:01.453,2464,01312035 EQ-02,0,100,0,90,1,1,20.4,Prone,Stationary,Blue,0,
8/12/2013 07:07:16.453,2479,01312035 EQ-02,0,100,0,90,1,1,20.4,Prone,Stationary,Blue,0,
8/12/2013 07:07:31.453,2494,01312035 EQ-02,0,100,0,90,1,1,20.4,Prone,Stationary,Blue,0,
8/12/2013 07:07:46.453,2509,01312035 EQ-02,0,100,0,90,1,1,20.4,Prone,Stationary,Blue,0,
8/12/2013 07:08:01.453,2524,01312035 EQ-02,0,100,0,90,1,1,20.5,Prone,Stationary,Blue,0,
8/12/2013 07:08:16.453,2539,01312035 EQ-02,0,100,0,90,1,1,20.4,Prone,Stationary,Blue,0,
8/12/2013 07:08:31.453,2554,01312035 EQ-02,0,100,0,90,1,1,20.4,Prone,Stationary,Blue,0,
8/12/2013 07:08:46.453,2569,01312035 EQ-02,2,100,0,90,1,1,20.4,Prone,Stationary,Blue,0,
8/12/2013 07:09:01.453,2584,01312035 EQ-02,2,100,0,90,1,1,20.5,Prone,Stationary,Blue,0,
